ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	63.69272846488704	63.69272846488704	63.69272846488704	63.69272846488704
1	63.77969300930333	63.72158077887455	63.75063689408894	63.77969300930333
2	63.832115306191	63.75227977641889	63.79446110901524	63.83265118786142
3	63.88749665495894	63.777922484994036	63.836560431567584	63.88805808131252
4	63.928719304628565	63.79908741062797	63.86943304726775	63.928897940667156
5	63.95956154179719	63.81580964726072	63.894131111198455	63.960148442095736
6	63.98414260613419	63.82913604552203	63.91315092392053	63.98414260613419
7	63.99762689012629	63.837789962583855	63.92607362765456	63.99770344418409
8	64.01699759073274	63.83952707544738	63.938093674676885	64.01743140065334
9	64.03846145024804	63.857701574584226	63.960866303490846	64.04129433495012
10	64.04104117594007	63.85887591476626	63.96448326841099	64.0437205933296
