Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:35:57	18:35:57	18:35:57			18:35:57	18:35:57	18:35:57	18:35:57	18:35:57	18:35:58	18:35:58	18:35:58	18:35:58	18:35:58	18:35:58			18:35:59	18:35:59		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59	18:35:59			18:36:00	18:36:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	18:36:00	18:36:00	18:36:00	18:36:00	18:36:00	18:36:00			18:36:00	18:36:00	18:36:01	18:36:01	18:36:01	18:36:01	18:36:01	18:36:01			18:36:01	18:36:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	18:36:01	18:36:01	18:36:01	18:36:01	18:36:01	18:36:01			18:36:01	18:36:01	18:36:02	18:36:02	18:36:02	18:36:02	18:36:02	18:36:02			18:36:02	18:36:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	18:36:02	18:36:02	18:36:02	18:36:02	18:36:02	18:36:02			18:36:02	18:36:02	18:36:03	18:36:03	18:36:03	18:36:03	18:36:03	18:36:03			18:36:04	18:36:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	18:36:04	18:36:04	18:36:04	18:36:04	18:36:04	18:36:04			18:36:04	18:36:04	18:36:04	18:36:04	18:36:04	18:36:04	18:36:04	18:36:04			18:36:05	18:36:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	18:36:05	18:36:05	18:36:05	18:36:05	18:36:05	18:36:05			18:36:05	18:36:05	18:36:06	18:36:06	18:36:06	18:36:06	18:36:06	18:36:06			18:36:06	18:36:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	18:36:06	18:36:06	18:36:06	18:36:06	18:36:06	18:36:06			18:36:06	18:36:06	18:36:07	18:36:07	18:36:07	18:36:07	18:36:07	18:36:07			18:36:07	18:36:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	18:36:08	18:36:08	18:36:08	18:36:08	18:36:08	18:36:08			18:36:08	18:36:08	18:36:09	18:36:09	18:36:09	18:36:09	18:36:09	18:36:09			18:36:09	18:36:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	18:36:09	18:36:09	18:36:09	18:36:09	18:36:09	18:36:09			18:36:09	18:36:09	18:36:10	18:36:10	18:36:10	18:36:10	18:36:10	18:36:10			18:36:10	18:36:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
10	18:36:11	18:36:11	18:36:11	18:36:11	18:36:11	18:36:11	18:36:11	18:36:11	18:36:11	18:36:11	18:36:12	18:36:12	18:36:12	18:36:12	18:36:12	18:36:12	18:36:12	18:36:12	18:36:12	18:36:12		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
